GADMarea,hhUrb,hhRur,hhTotal,pctTotal,pctUrb
Central,76002,198744,274746,0.09756962,27.66264113
Copperbelt,336672,90217,426889,0.15159965,78.86640321
Eastern,47371,295534,342905,0.121774696,13.81461338
Luapula,44254,199656,243910,0.086618935,18.14357755
Lusaka,422029,92051,514080,0.182563496,82.09403206
Muchinga,26585,127665,154250,0.054778282,17.2350081
Northern,44296,196260,240556,0.085427841,18.41400755
North-Western,31460,110464,141924,0.050400991,22.1667935
Southern,79551,206791,286342,0.101687668,27.78181336
Western,27196,163099,190295,0.067578821,14.29149478
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,71.66